	timepoint	replicate_id	treatment	cc_state	lin_state	lon_state
cell00623	5	1	N_N_N_N_N	1	9	2
cell00624	5	1	N_N_N_N_N	1	9	3
cell00625	5	1	N_N_N_N_N	3	15	2
cell00626	3	1	N_N_N	3	2	0
cell00627	2	1	N_N	2	1	1
cell00628	1	1	N	3	0	1
cell00629	4	1	N_N_N_N	0	7	2
cell00630	2	1	N_N	2	1	0
cell00631	4	1	N_N_N_N	1	8	3
cell00632	3	1	N_N_N	0	5	3
cell00633	2	1	N_N	2	1	3
cell00634	3	1	N_N_N	0	3	2
cell00635	3	1	N_N_N	0	4	0
cell00636	5	1	N_N_N_N_N	3	8	0
cell00637	5	1	N_N_N_N_N	3	14	2
cell00638	5	1	N_N_N_N_N	2	11	1
cell00639	4	1	N_N_N_N	1	9	1
cell00640	3	1	N_N_N	3	6	3
cell00641	1	1	N	0	1	2
cell00642	3	1	N_N_N	2	3	2
cell00643	4	1	N_N_N_N	3	11	2
cell00644	2	1	N_N	0	1	1
cell00645	3	1	N_N_N	1	2	2
cell00646	5	1	N_N_N_N_N	3	13	1
cell00647	4	1	N_N_N_N	2	7	2
cell00648	3	1	N_N_N	3	2	1
cell00649	5	1	N_N_N_N_N	0	13	1
cell00650	5	1	N_N_N_N_N	1	17	1
cell00651	2	1	N_N	1	1	1
cell00652	5	1	N_N_N_N_N	1	17	2
cell00653	5	1	N_N_N_N_N	3	18	2
cell00654	5	1	N_N_N_N_N	2	16	2
cell00655	5	1	N_N_N_N_N	2	10	2
cell00656	5	1	N_N_N_N_N	1	14	1
cell00657	3	1	N_N_N	0	6	2
cell00658	5	1	N_N_N_N_N	0	18	3
cell00659	5	1	N_N_N_N_N	2	11	2
cell00660	5	1	N_N_N_N_N	3	16	0
cell00661	1	1	N	3	1	1
cell00662	5	1	N_N_N_N_N	1	13	0
cell00663	3	1	N_N_N	1	7	1
cell00664	4	1	N_N_N_N	0	4	1
cell00665	4	1	N_N_N_N	2	6	1
cell00666	5	1	N_N_N_N_N	2	10	1
cell00667	2	1	N_N	3	1	1
cell00668	4	1	N_N_N_N	0	10	3
cell00669	4	1	N_N_N_N	2	7	1
cell00670	4	1	N_N_N_N	0	8	0
cell00671	5	1	N_N_N_N_N	3	15	2
cell00672	1	1	N	0	1	3
cell00673	4	1	N_N_N_N	1	5	1
cell00674	3	1	N_N_N	1	3	2
cell00675	4	1	N_N_N_N	2	6	1
cell00676	2	1	N_N	1	1	1
cell00677	1	1	N	0	1	1
cell00678	4	1	N_N_N_N	3	9	3
cell00679	5	1	N_N_N_N_N	1	14	0
cell00680	3	1	N_N_N	2	3	2
cell00681	1	1	N	2	1	3
cell00682	5	1	N_N_N_N_N	2	14	0
cell00683	5	1	N_N_N_N_N	2	9	2
cell00684	5	1	N_N_N_N_N	3	8	2
cell00685	5	1	N_N_N_N_N	1	16	3
cell00686	5	1	N_N_N_N_N	1	13	2
cell00687	5	1	N_N_N_N_N	0	8	2
cell00688	2	1	N_N	2	1	1
cell00689	2	1	N_N	2	3	1
cell00690	2	1	N_N	3	1	1
cell00691	5	1	N_N_N_N_N	3	13	3
cell00692	5	1	N_N_N_N_N	3	11	2
cell00693	5	1	N_N_N_N_N	0	13	0
cell00694	3	1	N_N_N	1	2	1
cell00695	3	1	N_N_N	0	6	2
cell00696	3	1	N_N_N	1	7	1
cell00697	3	1	N_N_N	3	6	3
cell00698	2	1	N_N	1	3	2
cell00699	4	1	N_N_N_N	3	8	3
cell00700	3	1	N_N_N	2	3	0
cell00701	4	1	N_N_N_N	2	8	1
cell00702	3	1	N_N_N	2	7	2
cell00703	5	1	N_N_N_N_N	1	15	0
cell00704	4	1	N_N_N_N	1	9	3
cell00705	5	1	N_N_N_N_N	1	11	0
cell00706	4	1	N_N_N_N	0	9	2
cell00707	5	1	N_N_N_N_N	2	11	2
cell00708	3	1	N_N_N	3	3	0
cell00709	5	1	N_N_N_N_N	0	11	1
cell00710	2	1	N_N	1	3	3
cell00711	3	1	N_N_N	0	4	0
cell00712	4	1	N_N_N_N	3	8	3
cell00713	3	1	N_N_N	3	2	3
cell00714	5	1	N_N_N_N_N	3	13	1
cell00715	5	1	N_N_N_N_N	0	9	1
cell00716	4	1	N_N_N_N	1	5	2
cell00717	5	1	N_N_N_N_N	2	10	2
cell00718	3	1	N_N_N	3	2	2
cell00719	5	1	N_N_N_N_N	3	15	1
cell00720	5	1	N_N_N_N_N	0	18	1
cell00721	4	1	N_N_N_N	3	7	1
cell00722	5	1	N_N_N_N_N	1	15	3
cell00723	5	1	N_N_N_N_N	1	15	2
cell00724	5	1	N_N_N_N_N	2	15	2
cell00725	5	1	N_N_N_N_N	2	11	2
cell00726	5	1	N_N_N_N_N	3	12	1
cell00727	5	1	N_N_N_N_N	1	11	2
cell00728	5	1	N_N_N_N_N	3	13	3
cell00729	5	1	N_N_N_N_N	1	11	2
cell00730	5	1	N_N_N_N_N	2	17	2
cell00731	4	1	N_N_N_N	3	10	1
cell00732	4	1	N_N_N_N	0	6	1
cell00733	3	1	N_N_N	3	3	0
cell00734	5	1	N_N_N_N_N	1	8	3
cell00735	5	1	N_N_N_N_N	2	9	1
cell00736	3	1	N_N_N	3	2	2
cell00737	3	1	N_N_N	0	7	2
cell00738	3	1	N_N_N	1	7	1
cell00739	4	1	N_N_N_N	1	9	3
cell00740	5	1	N_N_N_N_N	0	15	2
cell00741	4	1	N_N_N_N	0	5	1
cell00742	4	1	N_N_N_N	1	8	1
cell00743	5	1	N_N_N_N_N	1	11	3
cell00744	3	1	N_N_N	2	6	2
cell00745	3	1	N_N_N	0	5	3
cell00746	4	1	N_N_N_N	3	5	1
cell00747	5	1	N_N_N_N_N	1	18	0
cell00748	5	1	N_N_N_N_N	1	16	1
cell00749	2	1	N_N	3	2	1
cell00750	5	1	N_N_N_N_N	1	16	2
cell00751	1	1	N	1	1	1
cell00752	5	1	N_N_N_N_N	0	10	1
cell00753	5	1	N_N_N_N_N	1	16	2
cell00754	3	1	N_N_N	0	6	3
cell00755	5	1	N_N_N_N_N	1	9	1
cell00756	3	1	N_N_N	2	6	2
cell00757	5	1	N_N_N_N_N	2	18	2
cell00758	5	1	N_N_N_N_N	3	18	1
cell00759	5	1	N_N_N_N_N	2	15	1
cell00760	5	1	N_N_N_N_N	3	17	0
cell00761	5	1	N_N_N_N_N	2	16	2
cell00762	4	1	N_N_N_N	0	7	1
cell00763	3	1	N_N_N	3	4	1
cell00764	3	1	N_N_N	3	2	1
cell00765	3	1	N_N_N	0	3	1
cell00766	5	1	N_N_N_N_N	1	14	2
cell00767	5	1	N_N_N_N_N	1	11	1
cell00768	5	1	N_N_N_N_N	3	17	1
cell00769	5	1	N_N_N_N_N	0	11	2
cell00770	4	1	N_N_N_N	1	8	1
cell00771	3	1	N_N_N	3	3	1
cell00772	3	1	N_N_N	1	7	3
cell00773	5	1	N_N_N_N_N	0	9	2
cell00774	3	1	N_N_N	2	7	2
cell00775	5	1	N_N_N_N_N	1	16	1
cell00776	4	1	N_N_N_N	1	12	0
cell00777	4	1	N_N_N_N	2	4	0
cell00778	5	1	N_N_N_N_N	0	9	0
cell00779	3	1	N_N_N	2	2	2
cell00780	2	1	N_N	0	2	1
cell00781	4	1	N_N_N_N	3	7	2
cell00782	5	1	N_N_N_N_N	0	12	2
cell00783	5	1	N_N_N_N_N	1	12	1
cell00784	5	1	N_N_N_N_N	2	8	3
cell00785	2	1	N_N	2	2	1
cell00786	3	1	N_N_N	0	2	0
cell00787	2	1	N_N	3	1	1
cell00788	4	1	N_N_N_N	3	4	0
cell00789	3	1	N_N_N	2	6	1
cell00790	5	1	N_N_N_N_N	2	13	0
cell00791	4	1	N_N_N_N	3	7	2
cell00792	4	1	N_N_N_N	2	5	3
cell00793	4	1	N_N_N_N	3	7	1
cell00794	2	1	N_N	2	1	0
cell00795	3	1	N_N_N	2	7	0
cell00796	4	1	N_N_N_N	0	12	1
cell00797	3	1	N_N_N	3	7	2
cell00798	4	1	N_N_N_N	2	12	3
cell00799	4	1	N_N_N_N	3	10	2
cell00800	1	1	N	0	0	1
cell00801	4	1	N_N_N_N	3	6	3
cell00802	5	1	N_N_N_N_N	3	9	0
cell00803	5	1	N_N_N_N_N	2	11	1
cell00804	3	1	N_N_N	3	5	2
cell00805	4	1	N_N_N_N	1	12	0
cell00806	1	1	N	3	0	2
cell00807	4	1	N_N_N_N	1	12	1
cell00808	5	1	N_N_N_N_N	0	10	2
cell00809	3	1	N_N_N	1	7	2
cell00810	4	1	N_N_N_N	2	7	1
cell00811	5	1	N_N_N_N_N	3	16	2
cell00812	3	1	N_N_N	2	4	2
cell00813	2	1	N_N	1	1	2
cell00814	5	1	N_N_N_N_N	2	10	0
cell00815	5	1	N_N_N_N_N	0	15	0
cell00816	4	1	N_N_N_N	2	4	1
cell00817	4	1	N_N_N_N	2	9	0
cell00818	3	1	N_N_N	1	4	0
cell00819	3	1	N_N_N	0	2	2
cell00820	5	1	N_N_N_N_N	1	8	1
cell00821	4	1	N_N_N_N	2	12	2
cell00822	5	1	N_N_N_N_N	3	11	2
cell00823	5	1	N_N_N_N_N	0	12	0
cell00824	2	1	N_N	3	1	1
cell00825	2	1	N_N	2	1	2
cell00826	4	1	N_N_N_N	0	12	1
cell00827	5	1	N_N_N_N_N	0	16	3
cell00828	4	1	N_N_N_N	2	5	2
cell00829	1	1	N	2	0	2
cell00830	5	1	N_N_N_N_N	0	18	2
cell00831	2	1	N_N	0	1	3
cell00832	4	1	N_N_N_N	1	10	2
cell00833	4	1	N_N_N_N	3	12	3
cell00834	5	1	N_N_N_N_N	2	17	3
cell00835	5	1	N_N_N_N_N	3	11	0
cell00836	3	1	N_N_N	0	4	2
cell00837	5	1	N_N_N_N_N	0	11	2
cell00838	4	1	N_N_N_N	3	6	1
cell00839	3	1	N_N_N	1	2	1
cell00840	4	1	N_N_N_N	1	5	2
cell00841	2	1	N_N	3	3	2
cell00842	4	1	N_N_N_N	2	9	2
cell00843	5	1	N_N_N_N_N	0	10	2
cell00844	3	1	N_N_N	0	3	2
cell00845	3	1	N_N_N	0	3	3
cell00846	3	1	N_N_N	1	4	1
cell00847	5	1	N_N_N_N_N	0	9	3
cell00848	4	1	N_N_N_N	3	8	0
cell00849	5	1	N_N_N_N_N	0	8	3
cell00850	5	1	N_N_N_N_N	3	16	2
cell00851	3	1	N_N_N	0	7	2
cell00852	5	1	N_N_N_N_N	2	14	1
cell00853	3	1	N_N_N	2	3	0
cell00854	5	1	N_N_N_N_N	2	11	1
cell00855	1	1	N	0	0	2
cell00856	5	1	N_N_N_N_N	2	18	1
cell00857	5	1	N_N_N_N_N	0	11	2
cell00858	5	1	N_N_N_N_N	1	16	3
cell00859	5	1	N_N_N_N_N	0	18	2
cell00860	3	1	N_N_N	3	5	2
cell00861	2	1	N_N	3	1	0
cell00862	3	1	N_N_N	2	5	1
cell00863	5	1	N_N_N_N_N	0	15	2
cell00864	4	1	N_N_N_N	0	7	2
cell00865	1	1	N	3	0	0
cell00866	3	1	N_N_N	0	2	3
cell00867	5	1	N_N_N_N_N	2	18	1
cell00868	3	1	N_N_N	1	5	2
cell00869	3	1	N_N_N	2	2	2
cell00870	4	1	N_N_N_N	0	4	2
cell00871	5	1	N_N_N_N_N	2	13	2
cell00872	4	1	N_N_N_N	0	7	1
cell00873	3	1	N_N_N	3	5	2
cell00874	4	1	N_N_N_N	3	11	1
cell00875	5	1	N_N_N_N_N	0	11	1
cell00876	2	1	N_N	3	1	2
cell00877	3	1	N_N_N	2	2	2
cell00878	5	1	N_N_N_N_N	0	11	2
cell00879	4	1	N_N_N_N	3	11	2
cell00880	5	1	N_N_N_N_N	0	18	1
cell00881	4	1	N_N_N_N	3	4	1
cell00882	4	1	N_N_N_N	0	5	2
cell00883	5	1	N_N_N_N_N	0	16	1
cell00884	4	1	N_N_N_N	2	12	3
cell00885	5	1	N_N_N_N_N	3	17	1
cell00886	4	1	N_N_N_N	1	5	3
cell00887	4	1	N_N_N_N	2	8	2
cell00888	2	1	N_N	3	1	1
cell00889	5	1	N_N_N_N_N	3	11	2
cell00890	5	1	N_N_N_N_N	3	16	0
cell00891	5	1	N_N_N_N_N	2	12	3
cell00892	5	1	N_N_N_N_N	0	13	2
cell00893	4	1	N_N_N_N	0	7	3
cell00894	5	1	N_N_N_N_N	1	18	1
cell00895	4	1	N_N_N_N	3	7	2
cell00896	3	1	N_N_N	2	2	1
cell00897	3	1	N_N_N	0	6	2
cell00898	1	1	N	0	1	0
cell00899	5	1	N_N_N_N_N	3	15	0
cell00900	5	1	N_N_N_N_N	2	11	1
cell00901	4	1	N_N_N_N	0	10	1
cell00902	4	1	N_N_N_N	3	5	2
cell00903	4	1	N_N_N_N	0	12	0
cell00904	1	1	N	0	1	3
cell00905	2	1	N_N	0	1	0
cell00906	4	1	N_N_N_N	0	12	2
cell00907	3	1	N_N_N	1	2	2
cell00908	5	1	N_N_N_N_N	3	18	2
cell00909	5	1	N_N_N_N_N	3	12	0
cell00910	5	1	N_N_N_N_N	0	12	1
cell00911	5	1	N_N_N_N_N	0	13	1
cell00912	4	1	N_N_N_N	2	5	1
cell00913	2	1	N_N	0	2	2
cell00914	2	1	N_N	0	3	3
cell00915	5	1	N_N_N_N_N	3	13	2
cell00916	2	1	N_N	0	2	1
cell00917	4	1	N_N_N_N	3	5	2
cell00918	4	1	N_N_N_N	0	5	3
cell00919	3	1	N_N_N	3	2	3
cell00920	4	1	N_N_N_N	2	4	1
cell00921	2	1	N_N	2	1	0
cell00922	5	1	N_N_N_N_N	2	15	1
cell00923	1	1	N	3	0	1
cell00924	5	1	N_N_N_N_N	3	11	3
cell00925	2	1	N_N	3	3	2
cell00926	5	1	N_N_N_N_N	2	11	1
cell00927	5	1	N_N_N_N_N	2	11	2
cell00928	3	1	N_N_N	1	6	2
cell00929	3	1	N_N_N	0	3	2
cell00930	4	1	N_N_N_N	0	4	1
cell00931	2	1	N_N	0	2	1
cell00932	4	1	N_N_N_N	1	10	1
cell00933	5	1	N_N_N_N_N	0	18	2
cell00934	5	1	N_N_N_N_N	2	12	1
cell00935	5	1	N_N_N_N_N	0	14	1
cell00936	5	1	N_N_N_N_N	1	9	3
cell00937	2	1	N_N	2	3	1
cell00938	3	1	N_N_N	0	3	3
cell00939	4	1	N_N_N_N	0	11	0
cell00940	4	1	N_N_N_N	0	4	1
cell00941	3	1	N_N_N	2	5	1
cell00942	4	1	N_N_N_N	3	12	3
cell00943	4	1	N_N_N_N	2	10	3
cell00944	4	1	N_N_N_N	1	4	3
cell00945	2	1	N_N	3	1	3
cell00946	1	1	N	1	1	2
cell00947	5	1	N_N_N_N_N	2	8	2
cell00948	5	1	N_N_N_N_N	3	17	2
cell00949	2	1	N_N	3	1	1
cell00950	3	1	N_N_N	3	2	0
cell00951	5	1	N_N_N_N_N	2	16	2
cell00952	4	1	N_N_N_N	0	5	1
cell00953	2	1	N_N	3	1	2
cell00954	5	1	N_N_N_N_N	3	11	3
cell00955	2	1	N_N	3	2	1
cell00956	3	1	N_N_N	3	2	0
cell00957	5	1	N_N_N_N_N	1	12	1
cell00958	5	1	N_N_N_N_N	3	8	3
cell00959	5	1	N_N_N_N_N	0	9	1
cell00960	1	1	N	0	1	3
cell00961	5	1	N_N_N_N_N	2	13	0
cell00962	4	1	N_N_N_N	3	10	0
cell00963	5	1	N_N_N_N_N	2	15	3
cell00964	3	1	N_N_N	2	4	2
cell00965	2	1	N_N	1	1	1
cell00966	5	1	N_N_N_N_N	0	17	3
cell00967	3	1	N_N_N	3	2	3
cell00968	3	1	N_N_N	3	2	3
cell00969	4	1	N_N_N_N	0	7	1
cell00970	4	1	N_N_N_N	3	8	0
cell00971	1	1	N	2	0	0
cell00972	5	1	N_N_N_N_N	1	12	2
cell00973	4	1	N_N_N_N	2	10	3
cell00974	4	1	N_N_N_N	3	6	2
cell00975	5	1	N_N_N_N_N	0	13	1
cell00976	3	1	N_N_N	3	3	1
cell00977	5	1	N_N_N_N_N	0	11	2
cell00978	5	1	N_N_N_N_N	1	11	2
cell00979	5	1	N_N_N_N_N	0	15	1
cell00980	5	1	N_N_N_N_N	2	8	2
cell00981	5	1	N_N_N_N_N	0	14	3
cell00982	5	1	N_N_N_N_N	0	16	3
cell00983	5	1	N_N_N_N_N	2	11	2
cell00984	2	1	N_N	0	1	0
cell00985	3	1	N_N_N	0	2	2
cell00986	3	1	N_N_N	2	6	0
cell00987	5	1	N_N_N_N_N	0	17	0
cell00988	5	1	N_N_N_N_N	1	17	3
cell00989	5	1	N_N_N_N_N	1	10	1
cell00990	3	1	N_N_N	2	4	1
cell00991	5	1	N_N_N_N_N	1	13	1
cell00992	5	1	N_N_N_N_N	2	11	0
cell00993	4	1	N_N_N_N	2	5	2
cell00994	2	1	N_N	3	3	2
cell00995	4	1	N_N_N_N	0	12	3
cell00996	5	1	N_N_N_N_N	3	11	1
cell00997	5	1	N_N_N_N_N	0	11	1
cell00998	3	1	N_N_N	2	6	1
cell00999	5	1	N_N_N_N_N	0	10	2
cell01000	3	1	N_N_N	2	5	1
cell01001	1	1	N	3	1	2
cell01002	2	1	N_N	3	1	0
cell01003	5	1	N_N_N_N_N	0	18	1
cell01004	3	1	N_N_N	1	2	1
cell01005	4	1	N_N_N_N	1	5	3
cell01006	4	1	N_N_N_N	0	11	2
cell01007	2	1	N_N	2	3	0
cell01008	3	1	N_N_N	3	3	0
cell01009	5	1	N_N_N_N_N	3	13	2
cell01010	2	1	N_N	0	1	1
cell01011	1	1	N	1	0	1
cell01012	4	1	N_N_N_N	3	4	0
cell01013	3	1	N_N_N	2	5	1
cell01014	2	1	N_N	3	1	2
cell01015	3	1	N_N_N	0	5	1
cell01016	5	1	N_N_N_N_N	2	14	2
cell01017	3	1	N_N_N	0	6	3
cell01018	4	1	N_N_N_N	1	8	1
cell01019	5	1	N_N_N_N_N	1	15	0
cell01020	3	1	N_N_N	1	3	1
cell01021	3	1	N_N_N	1	4	2
cell01022	1	1	N	0	1	2
cell01023	4	1	N_N_N_N	0	9	3
cell01024	3	1	N_N_N	3	5	2
cell01025	5	1	N_N_N_N_N	2	12	3
cell01026	4	1	N_N_N_N	1	7	1
cell01027	5	1	N_N_N_N_N	1	9	1
cell01028	3	1	N_N_N	3	2	1
cell01029	3	1	N_N_N	2	3	1
cell01030	4	1	N_N_N_N	0	4	2
cell01031	5	1	N_N_N_N_N	0	14	3
cell01032	4	1	N_N_N_N	2	4	3
cell01033	5	1	N_N_N_N_N	3	13	1
cell01034	5	1	N_N_N_N_N	3	15	1
cell01035	5	1	N_N_N_N_N	2	16	1
cell01036	4	1	N_N_N_N	2	10	2
cell01037	2	1	N_N	1	2	2
cell01038	3	1	N_N_N	1	7	2
cell01039	3	1	N_N_N	2	7	1
cell01040	2	1	N_N	1	3	1
cell01041	5	1	N_N_N_N_N	1	16	2
cell01042	5	1	N_N_N_N_N	3	12	0
cell01043	3	1	N_N_N	2	2	0
cell01044	5	1	N_N_N_N_N	1	9	2
cell01045	5	1	N_N_N_N_N	2	11	0
cell01046	3	1	N_N_N	3	5	2
cell01047	3	1	N_N_N	3	6	2
cell01048	4	1	N_N_N_N	3	7	1
cell01049	3	1	N_N_N	2	2	0
cell01050	5	1	N_N_N_N_N	0	11	1
cell01051	5	1	N_N_N_N_N	2	9	3
cell01052	5	1	N_N_N_N_N	1	11	2
cell01053	2	1	N_N	1	3	1
cell01054	5	1	N_N_N_N_N	1	12	0
cell01055	4	1	N_N_N_N	0	5	0
cell01056	5	1	N_N_N_N_N	3	13	0
cell01057	4	1	N_N_N_N	0	12	1
cell01058	4	1	N_N_N_N	2	8	1
cell01059	5	1	N_N_N_N_N	2	8	2
cell01060	2	1	N_N	2	1	3
cell01061	4	1	N_N_N_N	0	4	1
cell01062	3	1	N_N_N	3	3	2
cell01063	5	1	N_N_N_N_N	1	18	0
cell01064	3	1	N_N_N	3	3	3
cell01065	5	1	N_N_N_N_N	2	11	2
cell01066	4	1	N_N_N_N	1	12	2
cell01067	4	1	N_N_N_N	2	4	2
cell01068	5	1	N_N_N_N_N	1	11	2
cell01069	5	1	N_N_N_N_N	0	8	2
cell01070	4	1	N_N_N_N	1	5	1
cell01071	3	1	N_N_N	1	4	2
cell01072	4	1	N_N_N_N	2	5	2
cell01073	5	1	N_N_N_N_N	3	14	1
cell01074	3	1	N_N_N	1	3	0
cell01075	4	1	N_N_N_N	2	5	3
cell01076	4	1	N_N_N_N	1	4	2
cell01077	4	1	N_N_N_N	1	5	1
cell01078	3	1	N_N_N	0	2	1
cell01079	5	1	N_N_N_N_N	1	8	2
cell01080	2	1	N_N	0	3	2
cell01081	5	1	N_N_N_N_N	2	14	1
cell01082	3	1	N_N_N	2	7	1
cell01083	5	1	N_N_N_N_N	1	13	1
cell01084	3	1	N_N_N	2	4	3
cell01085	2	1	N_N	2	1	3
cell01086	5	1	N_N_N_N_N	2	15	2
cell01087	2	1	N_N	2	1	0
cell01088	5	1	N_N_N_N_N	3	10	2
cell01089	5	1	N_N_N_N_N	3	17	2
cell01090	4	1	N_N_N_N	0	4	1
cell01091	5	1	N_N_N_N_N	1	15	1
cell01092	5	1	N_N_N_N_N	1	14	1
cell01093	5	1	N_N_N_N_N	3	15	1
cell01094	4	1	N_N_N_N	1	9	0
cell01095	5	1	N_N_N_N_N	3	12	0
cell01096	3	1	N_N_N	1	5	0
cell01097	5	1	N_N_N_N_N	3	8	0
cell01098	5	1	N_N_N_N_N	0	8	0
cell01099	3	1	N_N_N	1	6	0
cell01100	5	1	N_N_N_N_N	2	11	1
cell01101	5	1	N_N_N_N_N	3	11	1
cell01102	3	1	N_N_N	2	4	2
cell01103	5	1	N_N_N_N_N	3	17	3
cell01104	2	1	N_N	1	1	1
cell01105	3	1	N_N_N	2	2	3
cell01106	2	1	N_N	1	1	1
cell01107	2	1	N_N	0	3	0
cell01108	4	1	N_N_N_N	0	12	1
cell01109	3	1	N_N_N	1	3	2
cell01110	1	1	N	2	1	1
cell01111	4	1	N_N_N_N	2	4	2
cell01112	5	1	N_N_N_N_N	3	8	0
cell01113	4	1	N_N_N_N	3	5	0
cell01114	3	1	N_N_N	2	2	1
cell01115	3	1	N_N_N	0	2	3
cell01116	3	1	N_N_N	3	3	2
cell01117	3	1	N_N_N	1	2	0
cell01118	2	1	N_N	2	1	1
cell01119	2	1	N_N	1	1	2
cell01120	5	1	N_N_N_N_N	2	15	2
cell01121	2	1	N_N	1	3	2
cell01122	3	1	N_N_N	2	2	0
cell01123	3	1	N_N_N	2	7	1
cell01124	5	1	N_N_N_N_N	1	9	1
cell01125	3	1	N_N_N	3	7	3
cell01126	5	1	N_N_N_N_N	1	18	0
cell01127	1	1	N	1	0	2
cell01128	3	1	N_N_N	1	2	0
cell01129	3	1	N_N_N	1	7	2
cell01130	5	1	N_N_N_N_N	0	12	2
cell01131	5	1	N_N_N_N_N	2	11	3
cell01132	5	1	N_N_N_N_N	1	11	1
cell01133	3	1	N_N_N	0	5	2
cell01134	4	1	N_N_N_N	1	8	2
cell01135	3	1	N_N_N	0	7	3
cell01136	4	1	N_N_N_N	0	10	1
cell01137	4	1	N_N_N_N	3	8	3
cell01138	5	1	N_N_N_N_N	3	11	0
cell01139	4	1	N_N_N_N	2	6	1
cell01140	4	1	N_N_N_N	1	8	0
cell01141	5	1	N_N_N_N_N	1	13	3
cell01142	3	1	N_N_N	2	3	1
cell01143	4	1	N_N_N_N	3	5	2
cell01144	2	1	N_N	2	3	2
cell01145	4	1	N_N_N_N	3	5	0
cell01146	4	1	N_N_N_N	3	5	1
cell01147	3	1	N_N_N	3	5	1
cell01148	5	1	N_N_N_N_N	3	12	3
cell01149	4	1	N_N_N_N	0	4	2
cell01150	4	1	N_N_N_N	3	12	2
cell01151	1	1	N	2	0	2
cell01152	1	1	N	1	0	2
cell01153	5	1	N_N_N_N_N	1	12	1
cell01154	4	1	N_N_N_N	3	8	2
cell01155	1	1	N	3	1	3
cell01156	3	1	N_N_N	1	2	2
cell01157	3	1	N_N_N	0	2	3
cell01158	4	1	N_N_N_N	0	9	2
cell01159	2	1	N_N	3	2	0
cell01160	5	1	N_N_N_N_N	3	18	0
cell01161	3	1	N_N_N	3	7	2
cell01162	2	1	N_N	2	3	2
cell01163	5	1	N_N_N_N_N	3	16	2
cell01164	5	1	N_N_N_N_N	2	17	0
cell01165	3	1	N_N_N	0	5	2
cell01166	4	1	N_N_N_N	2	6	1
cell01167	5	1	N_N_N_N_N	2	16	2
cell01168	4	1	N_N_N_N	0	7	2
cell01169	5	1	N_N_N_N_N	3	11	3
cell01170	4	1	N_N_N_N	0	6	3
cell01171	5	1	N_N_N_N_N	2	11	1
cell01172	3	1	N_N_N	0	2	2
cell01173	4	1	N_N_N_N	1	7	1
cell01174	2	1	N_N	1	1	0
cell01175	5	1	N_N_N_N_N	2	15	2
cell01176	3	1	N_N_N	0	4	0
cell01177	3	1	N_N_N	2	7	0
cell01178	5	1	N_N_N_N_N	3	9	1
cell01179	4	1	N_N_N_N	2	12	1
cell01180	5	1	N_N_N_N_N	2	17	1
cell01181	5	1	N_N_N_N_N	0	12	1
cell01182	5	1	N_N_N_N_N	3	8	0
cell01183	2	1	N_N	2	2	2
cell01184	5	1	N_N_N_N_N	0	13	0
cell01185	5	1	N_N_N_N_N	0	9	1
cell01186	5	1	N_N_N_N_N	3	13	3
cell01187	4	1	N_N_N_N	0	7	2
cell01188	5	1	N_N_N_N_N	1	12	3
cell01189	3	1	N_N_N	0	2	1
cell01190	4	1	N_N_N_N	1	4	1
cell01191	1	1	N	2	1	2
cell01192	5	1	N_N_N_N_N	1	10	1
cell01193	3	1	N_N_N	2	2	1
cell01194	5	1	N_N_N_N_N	3	11	2
cell01195	5	1	N_N_N_N_N	1	10	1
cell01196	5	1	N_N_N_N_N	3	9	1
cell01197	4	1	N_N_N_N	0	5	2
cell01198	3	1	N_N_N	1	2	2
cell01199	4	1	N_N_N_N	3	7	3
cell01200	4	1	N_N_N_N	1	5	3
cell01201	4	1	N_N_N_N	1	4	1
cell01202	4	1	N_N_N_N	2	8	3
cell01203	4	1	N_N_N_N	2	5	2
cell01204	4	1	N_N_N_N	0	4	3
cell01205	2	1	N_N	2	3	3
cell01206	2	1	N_N	0	3	1
cell01207	4	1	N_N_N_N	0	5	2
cell01208	1	1	N	2	1	3
cell01209	5	1	N_N_N_N_N	2	16	2
cell01210	2	1	N_N	0	1	1
cell01211	1	1	N	0	0	1
cell01212	3	1	N_N_N	1	7	0
cell01213	5	1	N_N_N_N_N	2	15	0
cell01214	4	1	N_N_N_N	2	9	2
cell01215	4	1	N_N_N_N	3	7	1
cell01216	4	1	N_N_N_N	2	10	2
cell01217	3	1	N_N_N	2	6	1
cell01218	5	1	N_N_N_N_N	1	16	0
cell01219	5	1	N_N_N_N_N	0	11	2
cell01220	5	1	N_N_N_N_N	1	8	2
cell01221	3	1	N_N_N	3	7	3
cell01222	2	1	N_N	1	1	3
cell01223	4	1	N_N_N_N	3	8	3
cell01224	5	1	N_N_N_N_N	2	11	2
cell01225	3	1	N_N_N	3	7	3
cell01226	4	1	N_N_N_N	0	4	3
cell01227	3	1	N_N_N	0	3	1
cell01228	3	1	N_N_N	1	3	1
cell01229	2	1	N_N	0	3	0
cell01230	5	1	N_N_N_N_N	1	8	2
cell01231	5	1	N_N_N_N_N	1	12	3
cell01232	3	1	N_N_N	0	4	1
cell01233	4	1	N_N_N_N	2	11	1
cell01234	5	1	N_N_N_N_N	0	10	2
cell01235	5	1	N_N_N_N_N	3	11	3
cell01236	5	1	N_N_N_N_N	1	16	0
cell01237	4	1	N_N_N_N	3	8	1
cell01238	5	1	N_N_N_N_N	0	8	2
cell01239	4	1	N_N_N_N	0	7	1
cell01240	3	1	N_N_N	2	5	1
